mode,team,event_id,event_name,appearances,full_rate,partial_rate,contained_rate,error_rate,blatant_rate,major_rate
standard,balanced+expert,E02,试剂瓶标签模糊,1098,0.2814,0.4836,0.1393,0.0956,0.0,0.0
standard,balanced+expert,E03,实验台杂乱,1117,0.2543,0.4843,0.1423,0.1191,0.0,0.0
standard,balanced+expert,E04,废液桶未及时封口,1079,0.5338,0.2586,0.1742,0.0334,0.0,0.0
standard,balanced+expert,E05,挥发性溶剂在开放环境中转移,1116,0.2473,0.4668,0.1631,0.1228,0.0,0.0
standard,balanced+expert,E06,有机溶剂附近存在火源,1088,0.2849,0.1866,0.3943,0.1342,0.0,0.0
standard,balanced+expert,E07,地面少量液体洒漏,1110,0.2586,0.4676,0.1568,0.1171,0.0,0.0
standard,balanced+expert,E08,玻璃器皿出现裂纹,1128,0.2137,0.2961,0.2482,0.242,0.0,0.0
standard,balanced+expert,E09,气瓶未固定,1099,0.2084,0.2748,0.2621,0.2548,0.0,0.0
standard,balanced+expert,E10,通风橱内堆放过多物品,1052,0.4658,0.2481,0.2481,0.038,0.0,0.0
standard,balanced+expert,E11,废液混放产生异常气味,1094,0.213,0.2697,0.2651,0.2523,0.0,0.0
standard,balanced+expert,E12,加热装置无人值守,1144,0.1976,0.2579,0.2657,0.2788,0.0,0.0
standard,balanced+expert,E13,皮肤接触腐蚀性液体,1132,0.2641,0.432,0.0,0.0,0.3039,0.0
standard,balanced+expert,E14,容器内压力异常升高,1145,0.2157,0.2716,0.2664,0.2463,0.0,0.0
standard,balanced+expert,E15,实验台出现小型明火,1083,0.2585,0.4155,0.0,0.0,0.3259,0.0
standard,balanced+expert,E16,刺激性气味明显增强,1098,0.357,0.1102,0.4681,0.0647,0.0,0.0
standard,balanced+learner,E01,未佩戴护目镜,1110,0.2523,0.5018,0.1144,0.1315,0.0,0.0
standard,balanced+learner,E02,试剂瓶标签模糊,1125,0.2,0.4933,0.1396,0.1671,0.0,0.0
standard,balanced+learner,E03,实验台杂乱,1149,0.2037,0.47,0.148,0.1784,0.0,0.0
standard,balanced+learner,E04,废液桶未及时封口,1136,0.463,0.2667,0.1937,0.0766,0.0,0.0
standard,balanced+learner,E05,挥发性溶剂在开放环境中转移,1133,0.2657,0.4898,0.1465,0.098,0.0,0.0
standard,balanced+learner,E06,有机溶剂附近存在火源,1132,0.3392,0.1917,0.3657,0.1034,0.0,0.0
standard,balanced+learner,E07,地面少量液体洒漏,1060,0.2953,0.4274,0.1651,0.1123,0.0,0.0
standard,balanced+learner,E08,玻璃器皿出现裂纹,1154,0.2019,0.3024,0.2686,0.227,0.0,0.0
standard,balanced+learner,E09,气瓶未固定,1066,0.2054,0.3002,0.2664,0.228,0.0,0.0
standard,balanced+learner,E10,通风橱内堆放过多物品,1088,0.4504,0.2969,0.2188,0.034,0.0,0.0
standard,balanced+learner,E11,废液混放产生异常气味,1047,0.2388,0.2693,0.2617,0.2302,0.0,0.0
standard,balanced+learner,E12,加热装置无人值守,1084,0.2076,0.31,0.2666,0.2159,0.0,0.0
standard,balanced+learner,E13,皮肤接触腐蚀性液体,1097,0.2653,0.4193,0.0,0.0,0.3154,0.0
standard,balanced+learner,E14,容器内压力异常升高,1127,0.1819,0.2946,0.2813,0.2422,0.0,0.0
standard,balanced+learner,E15,实验台出现小型明火,1118,0.2585,0.4463,0.0,0.0,0.2952,0.0
standard,balanced+learner,E16,刺激性气味明显增强,1064,0.3759,0.1175,0.4511,0.0555,0.0,0.0
standard,balanced+reckless,E01,未佩戴护目镜,1102,0.274,0.4755,0.1252,0.1252,0.0,0.0
standard,balanced+reckless,E02,试剂瓶标签模糊,1095,0.2484,0.4566,0.1452,0.1498,0.0,0.0
standard,balanced+reckless,E03,实验台杂乱,1122,0.2228,0.4269,0.1684,0.1818,0.0,0.0
standard,balanced+reckless,E04,废液桶未及时封口,1074,0.4777,0.2579,0.1983,0.0661,0.0,0.0
standard,balanced+reckless,E05,挥发性溶剂在开放环境中转移,1137,0.2639,0.445,0.1838,0.1073,0.0,0.0
standard,balanced+reckless,E06,有机溶剂附近存在火源,1113,0.3217,0.1662,0.398,0.1141,0.0,0.0
standard,balanced+reckless,E07,地面少量液体洒漏,1096,0.3093,0.4325,0.1651,0.0931,0.0,0.0
standard,balanced+reckless,E08,玻璃器皿出现裂纹,1073,0.2432,0.2554,0.2954,0.206,0.0,0.0
standard,balanced+reckless,E09,气瓶未固定,1110,0.2225,0.2748,0.2892,0.2135,0.0,0.0
standard,balanced+reckless,E10,通风橱内堆放过多物品,1117,0.4539,0.265,0.2247,0.0564,0.0,0.0
standard,balanced+reckless,E11,废液混放产生异常气味,1088,0.2197,0.273,0.2886,0.2188,0.0,0.0
standard,balanced+reckless,E12,加热装置无人值守,1133,0.2065,0.2692,0.2957,0.2286,0.0,0.0
standard,balanced+reckless,E13,皮肤接触腐蚀性液体,1097,0.2707,0.4038,0.0,0.0,0.3254,0.0
standard,balanced+reckless,E14,容器内压力异常升高,1097,0.2461,0.2634,0.2871,0.2033,0.0,0.0
standard,balanced+reckless,E15,实验台出现小型明火,1086,0.2532,0.4006,0.0,0.0,0.3462,0.0
standard,balanced+reckless,E16,刺激性气味明显增强,1135,0.3789,0.1101,0.4661,0.0449,0.0,0.0
standard,balanced+safe,E01,未佩戴护目镜,1045,0.2651,0.4785,0.1187,0.1378,0.0,0.0
standard,balanced+safe,E02,试剂瓶标签模糊,1084,0.2371,0.4686,0.1328,0.1614,0.0,0.0
standard,balanced+safe,E03,实验台杂乱,1105,0.2154,0.4552,0.1457,0.1837,0.0,0.0
standard,balanced+safe,E04,废液桶未及时封口,1092,0.5009,0.25,0.1978,0.0513,0.0,0.0
standard,balanced+safe,E05,挥发性溶剂在开放环境中转移,1102,0.2387,0.4964,0.1388,0.1261,0.0,0.0
standard,balanced+safe,E06,有机溶剂附近存在火源,1075,0.3005,0.1767,0.4167,0.106,0.0,0.0
standard,balanced+safe,E07,地面少量液体洒漏,1100,0.2555,0.47,0.1673,0.1073,0.0,0.0
standard,balanced+safe,E08,玻璃器皿出现裂纹,1127,0.1881,0.2813,0.2697,0.2609,0.0,0.0
standard,balanced+safe,E09,气瓶未固定,1140,0.2105,0.2886,0.2658,0.2351,0.0,0.0
standard,balanced+safe,E10,通风橱内堆放过多物品,1107,0.4399,0.2855,0.2502,0.0244,0.0,0.0
standard,balanced+safe,E11,废液混放产生异常气味,1115,0.191,0.3103,0.2691,0.2296,0.0,0.0
standard,balanced+safe,E12,加热装置无人值守,1094,0.1883,0.277,0.2788,0.2559,0.0,0.0
standard,balanced+safe,E13,皮肤接触腐蚀性液体,1125,0.2551,0.4356,0.0,0.0,0.3093,0.0
standard,balanced+safe,E14,容器内压力异常升高,1049,0.2164,0.2831,0.266,0.2345,0.0,0.0
standard,balanced+safe,E15,实验台出现小型明火,1140,0.2553,0.4246,0.0,0.0,0.3202,0.0
standard,balanced+safe,E16,刺激性气味明显增强,1160,0.381,0.1422,0.4276,0.0491,0.0,0.0
standard,expert+expert,E01,未佩戴护目镜,1135,0.2784,0.5507,0.0934,0.0775,0.0,0.0
standard,expert+expert,E02,试剂瓶标签模糊,1104,0.2871,0.4918,0.1277,0.0933,0.0,0.0
standard,expert+expert,E03,实验台杂乱,1086,0.244,0.5064,0.1151,0.1344,0.0,0.0
standard,expert+expert,E04,废液桶未及时封口,1136,0.5616,0.2614,0.147,0.0299,0.0,0.0
standard,expert+expert,E05,挥发性溶剂在开放环境中转移,1106,0.245,0.4665,0.1564,0.132,0.0,0.0
standard,expert+expert,E06,有机溶剂附近存在火源,1114,0.2828,0.1939,0.4004,0.123,0.0,0.0
standard,expert+expert,E07,地面少量液体洒漏,1100,0.2582,0.4582,0.1609,0.1227,0.0,0.0
standard,expert+expert,E08,玻璃器皿出现裂纹,1097,0.2069,0.2735,0.2552,0.2644,0.0,0.0
standard,expert+expert,E09,气瓶未固定,1096,0.188,0.3011,0.2609,0.25,0.0,0.0
standard,expert+expert,E10,通风橱内堆放过多物品,1089,0.4545,0.2645,0.2433,0.0376,0.0,0.0
standard,expert+expert,E11,废液混放产生异常气味,1085,0.223,0.2535,0.2618,0.2618,0.0,0.0
standard,expert+expert,E12,加热装置无人值守,1114,0.1966,0.3052,0.2657,0.2325,0.0,0.0
standard,expert+expert,E13,皮肤接触腐蚀性液体,1105,0.267,0.4036,0.0,0.0,0.3294,0.0
standard,expert+expert,E14,容器内压力异常升高,1100,0.2009,0.2818,0.2836,0.2336,0.0,0.0
standard,expert+expert,E15,实验台出现小型明火,1091,0.2686,0.4372,0.0,0.0,0.2942,0.0
standard,expert+expert,E16,刺激性气味明显增强,1103,0.3536,0.1233,0.4687,0.0544,0.0,0.0
standard,expert+learner,E01,未佩戴护目镜,1098,0.3069,0.5209,0.0974,0.0747,0.0,0.0
standard,expert+learner,E02,试剂瓶标签模糊,1128,0.2801,0.4947,0.1285,0.0966,0.0,0.0
standard,expert+learner,E03,实验台杂乱,1081,0.2729,0.4644,0.1536,0.1092,0.0,0.0
standard,expert+learner,E04,废液桶未及时封口,1127,0.5217,0.2839,0.1588,0.0355,0.0,0.0
standard,expert+learner,E05,挥发性溶剂在开放环境中转移,1071,0.2269,0.5051,0.1531,0.1148,0.0,0.0
standard,expert+learner,E06,有机溶剂附近存在火源,1087,0.2944,0.1785,0.3965,0.1306,0.0,0.0
standard,expert+learner,E07,地面少量液体洒漏,1132,0.2456,0.4452,0.1731,0.136,0.0,0.0
standard,expert+learner,E08,玻璃器皿出现裂纹,1156,0.2085,0.2811,0.2621,0.2483,0.0,0.0
standard,expert+learner,E09,气瓶未固定,1101,0.2053,0.2888,0.2516,0.2543,0.0,0.0
standard,expert+learner,E10,通风橱内堆放过多物品,1080,0.4259,0.2935,0.2426,0.038,0.0,0.0
standard,expert+learner,E11,废液混放产生异常气味,1080,0.2111,0.2815,0.2759,0.2315,0.0,0.0
standard,expert+learner,E12,加热装置无人值守,1103,0.2112,0.282,0.2765,0.2303,0.0,0.0
standard,expert+learner,E13,皮肤接触腐蚀性液体,1115,0.2565,0.409,0.0,0.0,0.3345,0.0
standard,expert+learner,E14,容器内压力异常升高,1111,0.1971,0.2952,0.2718,0.2358,0.0,0.0
standard,expert+learner,E15,实验台出现小型明火,1091,0.253,0.4271,0.0,0.0,0.3199,0.0
standard,expert+learner,E16,刺激性气味明显增强,1094,0.3446,0.1133,0.4845,0.0576,0.0,0.0
standard,expert+reckless,E01,未佩戴护目镜,1068,0.2931,0.5103,0.1077,0.089,0.0,0.0
standard,expert+reckless,E02,试剂瓶标签模糊,1091,0.2805,0.5151,0.1192,0.0852,0.0,0.0
standard,expert+reckless,E03,实验台杂乱,1072,0.2659,0.4925,0.1427,0.0989,0.0,0.0
standard,expert+reckless,E04,废液桶未及时封口,1137,0.5594,0.2533,0.1522,0.0352,0.0,0.0
standard,expert+reckless,E05,挥发性溶剂在开放环境中转移,1084,0.2629,0.4659,0.1531,0.1181,0.0,0.0
standard,expert+reckless,E06,有机溶剂附近存在火源,1133,0.2921,0.1845,0.3901,0.1333,0.0,0.0
standard,expert+reckless,E07,地面少量液体洒漏,1114,0.3115,0.4138,0.1706,0.1041,0.0,0.0
standard,expert+reckless,E08,玻璃器皿出现裂纹,1076,0.2426,0.2565,0.2955,0.2054,0.0,0.0
standard,expert+reckless,E09,气瓶未固定,1104,0.2047,0.2799,0.2962,0.2192,0.0,0.0
standard,expert+reckless,E10,通风橱内堆放过多物品,1075,0.4419,0.2456,0.2586,0.054,0.0,0.0
standard,expert+reckless,E11,废液混放产生异常气味,1138,0.217,0.2645,0.2803,0.2381,0.0,0.0
standard,expert+reckless,E12,加热装置无人值守,1111,0.2169,0.2502,0.3087,0.2241,0.0,0.0
standard,expert+reckless,E13,皮肤接触腐蚀性液体,1099,0.2702,0.3649,0.0,0.0,0.3649,0.0
standard,expert+reckless,E14,容器内压力异常升高,1133,0.2462,0.256,0.271,0.2268,0.0,0.0
standard,expert+reckless,E15,实验台出现小型明火,1122,0.2504,0.4207,0.0,0.0,0.3289,0.0
standard,expert+reckless,E16,刺激性气味明显增强,1096,0.3987,0.1186,0.4334,0.0493,0.0,0.0
standard,expert+safe,E01,未佩戴护目镜,1104,0.298,0.5109,0.1087,0.0824,0.0,0.0
standard,expert+safe,E02,试剂瓶标签模糊,1115,0.2744,0.5193,0.1175,0.0888,0.0,0.0
standard,expert+safe,E03,实验台杂乱,1086,0.2643,0.4604,0.1483,0.1271,0.0,0.0
standard,expert+safe,E04,废液桶未及时封口,1086,0.5654,0.2459,0.1556,0.0331,0.0,0.0
standard,expert+safe,E05,挥发性溶剂在开放环境中转移,1104,0.2409,0.4937,0.1395,0.1259,0.0,0.0
standard,expert+safe,E06,有机溶剂附近存在火源,1089,0.292,0.2048,0.3811,0.1221,0.0,0.0
standard,expert+safe,E07,地面少量液体洒漏,1111,0.2331,0.477,0.1638,0.126,0.0,0.0
standard,expert+safe,E08,玻璃器皿出现裂纹,1127,0.2192,0.2715,0.252,0.2573,0.0,0.0
standard,expert+safe,E09,气瓶未固定,1124,0.2064,0.274,0.2651,0.2544,0.0,0.0
standard,expert+safe,E10,通风橱内堆放过多物品,1123,0.4604,0.2698,0.2378,0.0321,0.0,0.0
standard,expert+safe,E11,废液混放产生异常气味,1091,0.2172,0.2374,0.2896,0.2557,0.0,0.0
standard,expert+safe,E12,加热装置无人值守,1098,0.1858,0.2787,0.2668,0.2687,0.0,0.0
standard,expert+safe,E13,皮肤接触腐蚀性液体,1072,0.2668,0.3965,0.0,0.0,0.3368,0.0
standard,expert+safe,E14,容器内压力异常升高,1105,0.1982,0.2787,0.2923,0.2308,0.0,0.0
standard,expert+safe,E15,实验台出现小型明火,1123,0.2458,0.423,0.0,0.0,0.3313,0.0
standard,expert+safe,E16,刺激性气味明显增强,1080,0.3463,0.1269,0.4648,0.062,0.0,0.0
standard,learner+learner,E01,未佩戴护目镜,1078,0.257,0.5083,0.1011,0.1336,0.0,0.0
standard,learner+learner,E02,试剂瓶标签模糊,1099,0.2348,0.4932,0.1365,0.1356,0.0,0.0
standard,learner+learner,E03,实验台杂乱,1085,0.224,0.4341,0.141,0.2009,0.0,0.0
standard,learner+learner,E04,废液桶未及时封口,1058,0.5189,0.2495,0.1692,0.0624,0.0,0.0
standard,learner+learner,E05,挥发性溶剂在开放环境中转移,1089,0.1928,0.4656,0.1506,0.191,0.0,0.0
standard,learner+learner,E06,有机溶剂附近存在火源,1065,0.2244,0.1324,0.4469,0.1962,0.0,0.0
standard,learner+learner,E07,地面少量液体洒漏,1127,0.2369,0.4295,0.1553,0.1783,0.0,0.0
standard,learner+learner,E08,玻璃器皿出现裂纹,1157,0.134,0.2299,0.2679,0.3682,0.0,0.0
standard,learner+learner,E09,气瓶未固定,1094,0.1234,0.2431,0.2431,0.3903,0.0,0.0
standard,learner+learner,E10,通风橱内堆放过多物品,1163,0.3972,0.2605,0.2769,0.0653,0.0,0.0
standard,learner+learner,E11,废液混放产生异常气味,1087,0.2263,0.2999,0.2649,0.2088,0.0,0.0
standard,learner+learner,E12,加热装置无人值守,1125,0.2062,0.288,0.296,0.2098,0.0,0.0
standard,learner+learner,E13,皮肤接触腐蚀性液体,1123,0.2386,0.4176,0.0,0.0,0.3437,0.0
standard,learner+learner,E14,容器内压力异常升高,1069,0.2142,0.3162,0.275,0.1946,0.0,0.0
standard,learner+learner,E15,实验台出现小型明火,1108,0.278,0.3836,0.0,0.0,0.3384,0.0
standard,learner+learner,E16,刺激性气味明显增强,1088,0.3925,0.1369,0.4476,0.023,0.0,0.0
standard,learner+reckless,E01,未佩戴护目镜,1114,0.2648,0.4901,0.1095,0.1355,0.0,0.0
standard,learner+reckless,E02,试剂瓶标签模糊,1039,0.2445,0.4774,0.1434,0.1347,0.0,0.0
standard,learner+reckless,E03,实验台杂乱,1161,0.205,0.4556,0.1335,0.2059,0.0,0.0
standard,learner+reckless,E04,废液桶未及时封口,1095,0.4977,0.2384,0.211,0.053,0.0,0.0
standard,learner+reckless,E05,挥发性溶剂在开放环境中转移,1105,0.2154,0.4498,0.1584,0.1765,0.0,0.0
standard,learner+reckless,E06,有机溶剂附近存在火源,1129,0.2321,0.1311,0.4172,0.2197,0.0,0.0
standard,learner+reckless,E07,地面少量液体洒漏,1130,0.2496,0.377,0.1841,0.1894,0.0,0.0
standard,learner+reckless,E08,玻璃器皿出现裂纹,1063,0.1562,0.2342,0.2973,0.3123,0.0,0.0
standard,learner+reckless,E09,气瓶未固定,1074,0.1564,0.2011,0.2812,0.3613,0.0,0.0
standard,learner+reckless,E10,通风橱内堆放过多物品,1069,0.4069,0.246,0.261,0.0861,0.0,0.0
standard,learner+reckless,E11,废液混放产生异常气味,1136,0.2518,0.2949,0.2835,0.1699,0.0,0.0
standard,learner+reckless,E12,加热装置无人值守,1087,0.2493,0.2824,0.2944,0.1739,0.0,0.0
standard,learner+reckless,E13,皮肤接触腐蚀性液体,1076,0.2481,0.3875,0.0,0.0,0.3643,0.0
standard,learner+reckless,E14,容器内压力异常升高,1114,0.2558,0.281,0.2926,0.1706,0.0,0.0
standard,learner+reckless,E15,实验台出现小型明火,1124,0.2731,0.379,0.0,0.0,0.3479,0.0
standard,learner+reckless,E16,刺激性气味明显增强,1114,0.4111,0.1113,0.4506,0.0269,0.0,0.0
standard,learner+safe,E01,未佩戴护目镜,1119,0.2475,0.4736,0.1189,0.16,0.0,0.0
standard,learner+safe,E02,试剂瓶标签模糊,1111,0.2214,0.4824,0.1413,0.1548,0.0,0.0
standard,learner+safe,E03,实验台杂乱,1089,0.2241,0.4582,0.1368,0.1809,0.0,0.0
standard,learner+safe,E04,废液桶未及时封口,1113,0.5103,0.2354,0.1932,0.0611,0.0,0.0
standard,learner+safe,E05,挥发性溶剂在开放环境中转移,1107,0.2575,0.4616,0.1626,0.1183,0.0,0.0
standard,learner+safe,E06,有机溶剂附近存在火源,1064,0.3036,0.1823,0.4088,0.1053,0.0,0.0
standard,learner+safe,E07,地面少量液体洒漏,1119,0.2627,0.4674,0.1501,0.1197,0.0,0.0
standard,learner+safe,E08,玻璃器皿出现裂纹,1124,0.1877,0.2927,0.2714,0.2482,0.0,0.0
standard,learner+safe,E09,气瓶未固定,1134,0.2116,0.3042,0.261,0.2231,0.0,0.0
standard,learner+safe,E10,通风橱内堆放过多物品,1095,0.4539,0.2612,0.2493,0.0356,0.0,0.0
standard,learner+safe,E11,废液混放产生异常气味,1093,0.2004,0.2681,0.2855,0.2461,0.0,0.0
standard,learner+safe,E12,加热装置无人值守,1125,0.2062,0.2978,0.2542,0.2418,0.0,0.0
standard,learner+safe,E13,皮肤接触腐蚀性液体,1091,0.2484,0.4583,0.0,0.0,0.2933,0.0
standard,learner+safe,E14,容器内压力异常升高,1101,0.1989,0.2743,0.2879,0.2389,0.0,0.0
standard,learner+safe,E15,实验台出现小型明火,1128,0.2571,0.4317,0.0,0.0,0.3112,0.0
standard,learner+safe,E16,刺激性气味明显增强,1061,0.3893,0.114,0.4533,0.0434,0.0,0.0
standard,reckless+reckless,E01,未佩戴护目镜,1069,0.2301,0.4977,0.1113,0.1609,0.0,0.0
standard,reckless+reckless,E02,试剂瓶标签模糊,1089,0.2635,0.4738,0.1249,0.1377,0.0,0.0
standard,reckless+reckless,E03,实验台杂乱,1021,0.2135,0.429,0.1714,0.1861,0.0,0.0
standard,reckless+reckless,E04,废液桶未及时封口,1099,0.4841,0.2466,0.1947,0.0746,0.0,0.0
standard,reckless+reckless,E05,挥发性溶剂在开放环境中转移,1048,0.208,0.396,0.1613,0.2347,0.0,0.0
standard,reckless+reckless,E06,有机溶剂附近存在火源,1102,0.2377,0.1461,0.4192,0.1969,0.0,0.0
standard,reckless+reckless,E07,地面少量液体洒漏,1068,0.3006,0.3483,0.1966,0.1545,0.0,0.0
standard,reckless+reckless,E08,玻璃器皿出现裂纹,1049,0.1821,0.1849,0.3155,0.3174,0.0,0.0
standard,reckless+reckless,E09,气瓶未固定,1072,0.1576,0.1987,0.2966,0.347,0.0,0.0
standard,reckless+reckless,E10,通风橱内堆放过多物品,1055,0.3848,0.273,0.2664,0.0758,0.0,0.0
standard,reckless+reckless,E11,废液混放产生异常气味,1095,0.1735,0.221,0.2922,0.3132,0.0,0.0
standard,reckless+reckless,E12,加热装置无人值守,1088,0.1756,0.2077,0.3006,0.3162,0.0,0.0
standard,reckless+reckless,E13,皮肤接触腐蚀性液体,1082,0.2144,0.2884,0.0,0.0,0.4972,0.0
standard,reckless+reckless,E14,容器内压力异常升高,1065,0.1793,0.2131,0.2836,0.3239,0.0,0.0
standard,reckless+reckless,E15,实验台出现小型明火,1083,0.2041,0.2816,0.0,0.0,0.5143,0.0
standard,reckless+reckless,E16,刺激性气味明显增强,1095,0.3059,0.0749,0.526,0.0932,0.0,0.0
standard,reckless+safe,E01,未佩戴护目镜,1117,0.2543,0.4825,0.1235,0.1397,0.0,0.0
standard,reckless+safe,E02,试剂瓶标签模糊,1120,0.2188,0.5018,0.1196,0.1598,0.0,0.0
standard,reckless+safe,E03,实验台杂乱,1116,0.2168,0.4489,0.1371,0.1971,0.0,0.0
standard,reckless+safe,E04,废液桶未及时封口,1115,0.4951,0.2448,0.191,0.0691,0.0,0.0
standard,reckless+safe,E05,挥发性溶剂在开放环境中转移,1021,0.2439,0.4858,0.1577,0.1126,0.0,0.0
standard,reckless+safe,E06,有机溶剂附近存在火源,1086,0.2974,0.1851,0.3987,0.1188,0.0,0.0
standard,reckless+safe,E07,地面少量液体洒漏,1130,0.2947,0.423,0.1938,0.0885,0.0,0.0
standard,reckless+safe,E08,玻璃器皿出现裂纹,1061,0.2262,0.2639,0.3139,0.196,0.0,0.0
standard,reckless+safe,E09,气瓶未固定,1086,0.2366,0.2855,0.2827,0.1952,0.0,0.0
standard,reckless+safe,E10,通风橱内堆放过多物品,1116,0.4642,0.259,0.2312,0.0457,0.0,0.0
standard,reckless+safe,E11,废液混放产生异常气味,1121,0.2123,0.2926,0.2837,0.2114,0.0,0.0
standard,reckless+safe,E12,加热装置无人值守,1105,0.1991,0.3176,0.2543,0.229,0.0,0.0
standard,reckless+safe,E13,皮肤接触腐蚀性液体,1128,0.2633,0.398,0.0,0.0,0.3387,0.0
standard,reckless+safe,E14,容器内压力异常升高,1094,0.2249,0.2861,0.2788,0.2102,0.0,0.0
standard,reckless+safe,E15,实验台出现小型明火,1120,0.2723,0.4152,0.0,0.0,0.3125,0.0
standard,reckless+safe,E16,刺激性气味明显增强,1106,0.4177,0.1013,0.4349,0.0461,0.0,0.0
standard,safe+safe,E01,未佩戴护目镜,1056,0.2159,0.5114,0.1335,0.1392,0.0,0.0
standard,safe+safe,E02,试剂瓶标签模糊,1085,0.2249,0.4793,0.118,0.1779,0.0,0.0
standard,safe+safe,E03,实验台杂乱,1131,0.1919,0.4713,0.1353,0.2016,0.0,0.0
standard,safe+safe,E04,废液桶未及时封口,1031,0.4888,0.2464,0.2056,0.0592,0.0,0.0
standard,safe+safe,E05,挥发性溶剂在开放环境中转移,1079,0.2159,0.532,0.1353,0.1168,0.0,0.0
standard,safe+safe,E06,有机溶剂附近存在火源,1139,0.2818,0.2098,0.3995,0.1089,0.0,0.0
standard,safe+safe,E07,地面少量液体洒漏,1095,0.284,0.4347,0.1689,0.1123,0.0,0.0
standard,safe+safe,E08,玻璃器皿出现裂纹,1074,0.1816,0.2886,0.2737,0.2561,0.0,0.0
standard,safe+safe,E09,气瓶未固定,1130,0.185,0.3257,0.2381,0.2513,0.0,0.0
standard,safe+safe,E10,通风橱内堆放过多物品,1107,0.4453,0.2665,0.2593,0.0289,0.0,0.0
standard,safe+safe,E11,废液混放产生异常气味,1120,0.1884,0.2848,0.2714,0.2554,0.0,0.0
standard,safe+safe,E12,加热装置无人值守,1105,0.2018,0.2932,0.2715,0.2335,0.0,0.0
standard,safe+safe,E13,皮肤接触腐蚀性液体,1141,0.2436,0.4268,0.0,0.0,0.3295,0.0
standard,safe+safe,E14,容器内压力异常升高,1115,0.1713,0.3112,0.2717,0.2457,0.0,0.0
standard,safe+safe,E15,实验台出现小型明火,1107,0.2484,0.4354,0.0,0.0,0.3162,0.0
standard,safe+safe,E16,刺激性气味明显增强,1089,0.3636,0.1295,0.4545,0.0523,0.0,0.0
teaching,balanced+balanced,E01,未佩戴护目镜,1081,0.2414,0.4875,0.1388,0.1323,0.0,0.0
teaching,balanced+balanced,E02,试剂瓶标签模糊,1111,0.2547,0.4437,0.1323,0.1692,0.0,0.0
teaching,balanced+balanced,E03,实验台杂乱,1101,0.2198,0.4314,0.1381,0.2107,0.0,0.0
teaching,balanced+balanced,E04,废液桶未及时封口,1099,0.475,0.2457,0.2093,0.0701,0.0,0.0
teaching,balanced+balanced,E05,挥发性溶剂在开放环境中转移,1125,0.2427,0.5333,0.1511,0.0729,0.0,0.0
teaching,balanced+balanced,E06,有机溶剂附近存在火源,1112,0.3309,0.2041,0.3804,0.0845,0.0,0.0
teaching,balanced+balanced,E07,地面少量液体洒漏,1118,0.2862,0.4678,0.161,0.085,0.0,0.0
teaching,balanced+balanced,E08,玻璃器皿出现裂纹,1127,0.213,0.3327,0.268,0.1863,0.0,0.0
teaching,balanced+balanced,E09,气瓶未固定,1103,0.2393,0.311,0.2647,0.185,0.0,0.0
teaching,balanced+balanced,E10,通风橱内堆放过多物品,1173,0.4689,0.272,0.2293,0.0298,0.0,0.0
teaching,balanced+balanced,E11,废液混放产生异常气味,1093,0.2315,0.3065,0.2617,0.2004,0.0,0.0
teaching,balanced+balanced,E12,加热装置无人值守,1145,0.1974,0.3354,0.2734,0.1939,0.0,0.0
teaching,balanced+balanced,E13,皮肤接触腐蚀性液体,1162,0.2745,0.4544,0.0,0.0,0.2711,0.0
