mode,team,strategy_id,strategy_name,event_id,event_name,appearances,full_rate,partial_rate,contained_rate,error_rate,blatant_rate,major_rate
standard,balanced+reckless,none,无策略,E14,容器内压力异常升高,1195,0.251,0.2544,0.3155,0.1791,0.0,0.0
standard,balanced+reckless,none,无策略,E15,实验台出现小型明火,797,0.2986,0.394,0.0,0.0,0.3074,0.0
standard,balanced+reckless,none,无策略,E16,刺激性气味明显增强,1774,0.4042,0.0998,0.4628,0.0333,0.0,0.0
standard,balanced+safe,none,无策略,E01,未佩戴护目镜,1012,0.2342,0.4842,0.1275,0.1542,0.0,0.0
standard,balanced+safe,none,无策略,E02,试剂瓶标签模糊,1038,0.2254,0.474,0.1224,0.1782,0.0,0.0
standard,balanced+safe,none,无策略,E03,实验台杂乱,1546,0.229,0.4405,0.1488,0.1818,0.0,0.0
standard,balanced+safe,none,无策略,E04,废液桶未及时封口,893,0.4726,0.2665,0.1915,0.0694,0.0,0.0
standard,balanced+safe,none,无策略,E05,挥发性溶剂在开放环境中转移,1244,0.2492,0.492,0.1559,0.1029,0.0,0.0
standard,balanced+safe,none,无策略,E06,有机溶剂附近存在火源,933,0.1919,0.2594,0.3462,0.2026,0.0,0.0
standard,balanced+safe,none,无策略,E07,地面少量液体洒漏,557,0.2693,0.4506,0.1706,0.1095,0.0,0.0
standard,balanced+safe,none,无策略,E08,玻璃器皿出现裂纹,1679,0.2466,0.2775,0.2942,0.1817,0.0,0.0
standard,balanced+safe,none,无策略,E09,气瓶未固定,566,0.2155,0.2509,0.3004,0.2332,0.0,0.0
standard,balanced+safe,none,无策略,E10,通风橱内堆放过多物品,828,0.4227,0.2959,0.2476,0.0338,0.0,0.0
standard,balanced+safe,none,无策略,E11,废液混放产生异常气味,899,0.2102,0.2981,0.2759,0.2158,0.0,0.0
standard,balanced+safe,none,无策略,E12,加热装置无人值守,1215,0.1975,0.2938,0.3053,0.2033,0.0,0.0
standard,balanced+safe,none,无策略,E13,皮肤接触腐蚀性液体,1253,0.2362,0.4757,0.0,0.0,0.2881,0.0
standard,balanced+safe,none,无策略,E14,容器内压力异常升高,1205,0.2174,0.2523,0.3054,0.2249,0.0,0.0
standard,balanced+safe,none,无策略,E15,实验台出现小型明火,795,0.2704,0.4252,0.0,0.0,0.3044,0.0
standard,balanced+safe,none,无策略,E16,刺激性气味明显增强,1738,0.3786,0.1404,0.4488,0.0322,0.0,0.0
standard,expert+expert,none,无策略,E01,未佩戴护目镜,969,0.2147,0.515,0.1156,0.1548,0.0,0.0
standard,expert+expert,none,无策略,E02,试剂瓶标签模糊,1035,0.1981,0.4783,0.1362,0.1874,0.0,0.0
standard,expert+expert,none,无策略,E03,实验台杂乱,1562,0.2061,0.4738,0.1428,0.1773,0.0,0.0
standard,expert+expert,none,无策略,E04,废液桶未及时封口,889,0.4533,0.3026,0.1755,0.0686,0.0,0.0
standard,expert+expert,none,无策略,E05,挥发性溶剂在开放环境中转移,1290,0.2574,0.4977,0.1326,0.1124,0.0,0.0
standard,expert+expert,none,无策略,E06,有机溶剂附近存在火源,911,0.1987,0.3019,0.3337,0.1658,0.0,0.0
standard,expert+expert,none,无策略,E07,地面少量液体洒漏,593,0.2833,0.425,0.1922,0.0995,0.0,0.0
standard,expert+expert,none,无策略,E08,玻璃器皿出现裂纹,1671,0.2519,0.2603,0.2902,0.1975,0.0,0.0
standard,expert+expert,none,无策略,E09,气瓶未固定,594,0.1717,0.2677,0.3266,0.234,0.0,0.0
standard,expert+expert,none,无策略,E10,通风橱内堆放过多物品,780,0.3385,0.359,0.2577,0.0449,0.0,0.0
standard,expert+expert,none,无策略,E11,废液混放产生异常气味,884,0.2059,0.2839,0.293,0.2172,0.0,0.0
standard,expert+expert,none,无策略,E12,加热装置无人值守,1228,0.2134,0.2801,0.2809,0.2256,0.0,0.0
standard,expert+expert,none,无策略,E13,皮肤接触腐蚀性液体,1284,0.2656,0.4727,0.0,0.0,0.2617,0.0
standard,expert+expert,none,无策略,E14,容器内压力异常升高,1251,0.2398,0.2862,0.2734,0.2006,0.0,0.0
standard,expert+expert,none,无策略,E15,实验台出现小型明火,779,0.3081,0.38,0.0,0.0,0.3119,0.0
standard,expert+expert,none,无策略,E16,刺激性气味明显增强,1749,0.3745,0.1269,0.462,0.0366,0.0,0.0
standard,expert+learner,none,无策略,E01,未佩戴护目镜,1008,0.2302,0.4921,0.128,0.1498,0.0,0.0
standard,expert+learner,none,无策略,E02,试剂瓶标签模糊,1019,0.2188,0.4593,0.1452,0.1766,0.0,0.0
standard,expert+learner,none,无策略,E03,实验台杂乱,1539,0.2424,0.4412,0.1442,0.1722,0.0,0.0
standard,expert+learner,none,无策略,E04,废液桶未及时封口,919,0.4385,0.2982,0.2067,0.0566,0.0,0.0
standard,expert+learner,none,无策略,E05,挥发性溶剂在开放环境中转移,1246,0.2343,0.5088,0.1453,0.1116,0.0,0.0
standard,expert+learner,none,无策略,E06,有机溶剂附近存在火源,944,0.2044,0.2542,0.3718,0.1695,0.0,0.0
standard,expert+learner,none,无策略,E07,地面少量液体洒漏,619,0.2666,0.4394,0.1922,0.1018,0.0,0.0
standard,expert+learner,none,无策略,E08,玻璃器皿出现裂纹,1633,0.2309,0.2903,0.2884,0.1904,0.0,0.0
standard,expert+learner,none,无策略,E09,气瓶未固定,551,0.1978,0.2813,0.2922,0.2287,0.0,0.0
standard,expert+learner,none,无策略,E10,通风橱内堆放过多物品,827,0.4353,0.312,0.2249,0.0278,0.0,0.0
standard,expert+learner,none,无策略,E11,废液混放产生异常气味,917,0.2225,0.2955,0.2912,0.1908,0.0,0.0
standard,expert+learner,none,无策略,E12,加热装置无人值守,1184,0.2416,0.261,0.3049,0.1926,0.0,0.0
standard,expert+learner,none,无策略,E13,皮肤接触腐蚀性液体,1298,0.2411,0.4784,0.0,0.0,0.2804,0.0
standard,expert+learner,none,无策略,E14,容器内压力异常升高,1253,0.2314,0.2522,0.316,0.2003,0.0,0.0
standard,expert+learner,none,无策略,E15,实验台出现小型明火,779,0.3145,0.3941,0.0,0.0,0.2914,0.0
standard,expert+learner,none,无策略,E16,刺激性气味明显增强,1767,0.3786,0.116,0.4703,0.0351,0.0,0.0
standard,expert+reckless,none,无策略,E01,未佩戴护目镜,1012,0.2144,0.502,0.1403,0.1433,0.0,0.0
standard,expert+reckless,none,无策略,E02,试剂瓶标签模糊,1036,0.2104,0.4633,0.1525,0.1737,0.0,0.0
standard,expert+reckless,none,无策略,E03,实验台杂乱,1559,0.195,0.4644,0.1507,0.1899,0.0,0.0
standard,expert+reckless,none,无策略,E04,废液桶未及时封口,892,0.4226,0.2971,0.213,0.0673,0.0,0.0
standard,expert+reckless,none,无策略,E05,挥发性溶剂在开放环境中转移,1261,0.2347,0.4996,0.1578,0.1079,0.0,0.0
standard,expert+reckless,none,无策略,E06,有机溶剂附近存在火源,932,0.2318,0.2597,0.3948,0.1137,0.0,0.0
standard,expert+reckless,none,无策略,E07,地面少量液体洒漏,571,0.282,0.4011,0.2049,0.1121,0.0,0.0
standard,expert+reckless,none,无策略,E08,玻璃器皿出现裂纹,1640,0.2726,0.253,0.3055,0.1689,0.0,0.0
standard,expert+reckless,none,无策略,E09,气瓶未固定,561,0.2282,0.2709,0.3209,0.18,0.0,0.0
standard,expert+reckless,none,无策略,E10,通风橱内堆放过多物品,778,0.4023,0.3008,0.2237,0.0733,0.0,0.0
standard,expert+reckless,none,无策略,E11,废液混放产生异常气味,983,0.2533,0.2706,0.3042,0.1719,0.0,0.0
standard,expert+reckless,none,无策略,E12,加热装置无人值守,1207,0.2287,0.2477,0.3181,0.2055,0.0,0.0
standard,expert+reckless,none,无策略,E13,皮肤接触腐蚀性液体,1274,0.2779,0.4937,0.0,0.0,0.2284,0.0
standard,expert+reckless,none,无策略,E14,容器内压力异常升高,1194,0.258,0.2563,0.2889,0.1968,0.0,0.0
standard,expert+reckless,none,无策略,E15,实验台出现小型明火,809,0.2967,0.4351,0.0,0.0,0.2682,0.0
standard,expert+reckless,none,无策略,E16,刺激性气味明显增强,1794,0.4192,0.107,0.4281,0.0457,0.0,0.0
standard,expert+safe,none,无策略,E01,未佩戴护目镜,1043,0.2301,0.5101,0.1208,0.139,0.0,0.0
standard,expert+safe,none,无策略,E02,试剂瓶标签模糊,1033,0.1897,0.5102,0.1336,0.1665,0.0,0.0
standard,expert+safe,none,无策略,E03,实验台杂乱,1537,0.2219,0.4626,0.1321,0.1835,0.0,0.0
standard,expert+safe,none,无策略,E04,废液桶未及时封口,907,0.4609,0.2822,0.1963,0.0606,0.0,0.0
standard,expert+safe,none,无策略,E05,挥发性溶剂在开放环境中转移,1274,0.2441,0.5275,0.1256,0.1028,0.0,0.0
standard,expert+safe,none,无策略,E06,有机溶剂附近存在火源,923,0.1809,0.3142,0.3174,0.1874,0.0,0.0
standard,expert+safe,none,无策略,E07,地面少量液体洒漏,578,0.2578,0.4256,0.192,0.1246,0.0,0.0
standard,expert+safe,none,无策略,E08,玻璃器皿出现裂纹,1644,0.2196,0.2908,0.2877,0.2019,0.0,0.0
standard,expert+safe,none,无策略,E09,气瓶未固定,586,0.2014,0.2986,0.2935,0.2065,0.0,0.0
standard,expert+safe,none,无策略,E10,通风橱内堆放过多物品,793,0.4363,0.2875,0.2484,0.0277,0.0,0.0
standard,expert+safe,none,无策略,E11,废液混放产生异常气味,934,0.1906,0.2891,0.3094,0.2109,0.0,0.0
standard,expert+safe,none,无策略,E12,加热装置无人值守,1179,0.229,0.2697,0.2672,0.2341,0.0,0.0
standard,expert+safe,none,无策略,E13,皮肤接触腐蚀性液体,1273,0.2584,0.4564,0.0,0.0,0.2852,0.0
standard,expert+safe,none,无策略,E14,容器内压力异常升高,1215,0.2189,0.2593,0.2947,0.2272,0.0,0.0
standard,expert+safe,none,无策略,E15,实验台出现小型明火,755,0.302,0.4,0.0,0.0,0.298,0.0
standard,expert+safe,none,无策略,E16,刺激性气味明显增强,1777,0.3635,0.1497,0.4446,0.0422,0.0,0.0
standard,learner+learner,none,无策略,E01,未佩戴护目镜,990,0.2283,0.5101,0.1121,0.1495,0.0,0.0
standard,learner+learner,none,无策略,E02,试剂瓶标签模糊,1037,0.2131,0.4503,0.1331,0.2035,0.0,0.0
standard,learner+learner,none,无策略,E03,实验台杂乱,1543,0.2145,0.4725,0.138,0.175,0.0,0.0
standard,learner+learner,none,无策略,E04,废液桶未及时封口,895,0.4782,0.2905,0.1721,0.0592,0.0,0.0
standard,learner+learner,none,无策略,E05,挥发性溶剂在开放环境中转移,1203,0.2294,0.4622,0.1322,0.1762,0.0,0.0
standard,learner+learner,none,无策略,E06,有机溶剂附近存在火源,922,0.1703,0.1855,0.4013,0.243,0.0,0.0
standard,learner+learner,none,无策略,E07,地面少量液体洒漏,569,0.2548,0.3902,0.1757,0.1793,0.0,0.0
standard,learner+learner,none,无策略,E08,玻璃器皿出现裂纹,1634,0.1561,0.2001,0.2913,0.3525,0.0,0.0
standard,learner+learner,none,无策略,E09,气瓶未固定,557,0.1095,0.2118,0.2621,0.4165,0.0,0.0
standard,learner+learner,none,无策略,E10,通风橱内堆放过多物品,779,0.3877,0.2311,0.2978,0.0834,0.0,0.0
standard,learner+learner,none,无策略,E11,废液混放产生异常气味,966,0.2112,0.3116,0.2764,0.2008,0.0,0.0
standard,learner+learner,none,无策略,E12,加热装置无人值守,1245,0.2378,0.2803,0.2972,0.1847,0.0,0.0
standard,learner+learner,none,无策略,E13,皮肤接触腐蚀性液体,1262,0.2282,0.4469,0.0,0.0,0.3249,0.0
standard,learner+learner,none,无策略,E14,容器内压力异常升高,1161,0.2429,0.2929,0.2817,0.1826,0.0,0.0
standard,learner+learner,none,无策略,E15,实验台出现小型明火,785,0.2943,0.3822,0.0,0.0,0.3236,0.0
standard,learner+learner,none,无策略,E16,刺激性气味明显增强,1746,0.4164,0.1111,0.4433,0.0292,0.0,0.0
standard,learner+reckless,none,无策略,E01,未佩戴护目镜,1028,0.2393,0.5049,0.1128,0.143,0.0,0.0
standard,learner+reckless,none,无策略,E02,试剂瓶标签模糊,1002,0.1996,0.477,0.1327,0.1906,0.0,0.0
standard,learner+reckless,none,无策略,E03,实验台杂乱,1512,0.2189,0.4649,0.1402,0.1759,0.0,0.0
standard,learner+reckless,none,无策略,E04,废液桶未及时封口,895,0.4302,0.3039,0.181,0.0849,0.0,0.0
standard,learner+reckless,none,无策略,E05,挥发性溶剂在开放环境中转移,1258,0.217,0.4324,0.1455,0.2051,0.0,0.0
standard,learner+reckless,none,无策略,E06,有机溶剂附近存在火源,905,0.1691,0.1558,0.4829,0.1923,0.0,0.0
standard,learner+reckless,none,无策略,E07,地面少量液体洒漏,599,0.2404,0.409,0.1853,0.1653,0.0,0.0
standard,learner+reckless,none,无策略,E08,玻璃器皿出现裂纹,1695,0.1569,0.2136,0.315,0.3145,0.0,0.0
standard,learner+reckless,none,无策略,E09,气瓶未固定,581,0.1308,0.21,0.3115,0.3477,0.0,0.0
standard,learner+reckless,none,无策略,E10,通风橱内堆放过多物品,763,0.4142,0.2543,0.2438,0.0878,0.0,0.0
standard,learner+reckless,none,无策略,E11,废液混放产生异常气味,899,0.2425,0.2614,0.3126,0.1835,0.0,0.0
standard,learner+reckless,none,无策略,E12,加热装置无人值守,1209,0.2448,0.2672,0.3118,0.1762,0.0,0.0
standard,learner+reckless,none,无策略,E13,皮肤接触腐蚀性液体,1303,0.2364,0.4612,0.0,0.0,0.3024,0.0
standard,learner+reckless,none,无策略,E14,容器内压力异常升高,1218,0.2504,0.2709,0.298,0.1806,0.0,0.0
standard,learner+reckless,none,无策略,E15,实验台出现小型明火,787,0.2732,0.4282,0.0,0.0,0.2986,0.0
standard,learner+reckless,none,无策略,E16,刺激性气味明显增强,1713,0.4495,0.0998,0.4244,0.0263,0.0,0.0
standard,learner+safe,none,无策略,E01,未佩戴护目镜,949,0.2297,0.4879,0.1328,0.1496,0.0,0.0
standard,learner+safe,none,无策略,E02,试剂瓶标签模糊,1045,0.2278,0.4555,0.1282,0.1885,0.0,0.0
standard,learner+safe,none,无策略,E03,实验台杂乱,1548,0.2306,0.4483,0.1408,0.1802,0.0,0.0
standard,learner+safe,none,无策略,E04,废液桶未及时封口,885,0.4791,0.2576,0.2023,0.061,0.0,0.0
standard,learner+safe,none,无策略,E05,挥发性溶剂在开放环境中转移,1239,0.2284,0.5077,0.1485,0.1154,0.0,0.0
standard,learner+safe,none,无策略,E06,有机溶剂附近存在火源,947,0.2186,0.2767,0.3231,0.1816,0.0,0.0
standard,learner+safe,none,无策略,E07,地面少量液体洒漏,632,0.2848,0.4715,0.1377,0.106,0.0,0.0
standard,learner+safe,none,无策略,E08,玻璃器皿出现裂纹,1630,0.2331,0.281,0.2761,0.2098,0.0,0.0
standard,learner+safe,none,无策略,E09,气瓶未固定,597,0.1826,0.273,0.3283,0.2161,0.0,0.0
standard,learner+safe,none,无策略,E10,通风橱内堆放过多物品,789,0.4778,0.2497,0.2345,0.038,0.0,0.0
standard,learner+safe,none,无策略,E11,废液混放产生异常气味,938,0.2026,0.2804,0.2942,0.2228,0.0,0.0
standard,learner+safe,none,无策略,E12,加热装置无人值守,1186,0.231,0.2597,0.2968,0.2125,0.0,0.0
standard,learner+safe,none,无策略,E13,皮肤接触腐蚀性液体,1296,0.2515,0.4691,0.0,0.0,0.2793,0.0
standard,learner+safe,none,无策略,E14,容器内压力异常升高,1210,0.2066,0.2661,0.3132,0.214,0.0,0.0
standard,learner+safe,none,无策略,E15,实验台出现小型明火,806,0.2779,0.3834,0.0,0.0,0.3387,0.0
standard,learner+safe,none,无策略,E16,刺激性气味明显增强,1732,0.3747,0.1253,0.4648,0.0352,0.0,0.0
standard,reckless+reckless,none,无策略,E01,未佩戴护目镜,942,0.2229,0.5276,0.1221,0.1274,0.0,0.0
standard,reckless+reckless,none,无策略,E02,试剂瓶标签模糊,957,0.2059,0.4441,0.1369,0.2132,0.0,0.0
standard,reckless+reckless,none,无策略,E03,实验台杂乱,1452,0.2225,0.4683,0.1419,0.1674,0.0,0.0
standard,reckless+reckless,none,无策略,E04,废液桶未及时封口,851,0.4489,0.3032,0.1669,0.0811,0.0,0.0
standard,reckless+reckless,none,无策略,E05,挥发性溶剂在开放环境中转移,1205,0.2041,0.4432,0.166,0.1867,0.0,0.0
standard,reckless+reckless,none,无策略,E06,有机溶剂附近存在火源,930,0.2215,0.1548,0.4312,0.1925,0.0,0.0
standard,reckless+reckless,none,无策略,E07,地面少量液体洒漏,594,0.266,0.3519,0.2003,0.1818,0.0,0.0
standard,reckless+reckless,none,无策略,E08,玻璃器皿出现裂纹,1586,0.1765,0.2194,0.3108,0.2932,0.0,0.0
standard,reckless+reckless,none,无策略,E09,气瓶未固定,544,0.1599,0.2298,0.3235,0.2868,0.0,0.0
standard,reckless+reckless,none,无策略,E10,通风橱内堆放过多物品,779,0.3838,0.2465,0.2721,0.0976,0.0,0.0
standard,reckless+reckless,none,无策略,E11,废液混放产生异常气味,907,0.1499,0.2106,0.2822,0.3572,0.0,0.0
standard,reckless+reckless,none,无策略,E12,加热装置无人值守,1161,0.1774,0.205,0.2997,0.3178,0.0,0.0
standard,reckless+reckless,none,无策略,E13,皮肤接触腐蚀性液体,1246,0.2143,0.3571,0.0,0.0,0.4286,0.0
standard,reckless+reckless,none,无策略,E14,容器内压力异常升高,1204,0.1628,0.1993,0.304,0.3339,0.0,0.0
standard,reckless+reckless,none,无策略,E15,实验台出现小型明火,774,0.2106,0.3023,0.0,0.0,0.4871,0.0
standard,reckless+reckless,none,无策略,E16,刺激性气味明显增强,1766,0.3262,0.0759,0.5181,0.0798,0.0,0.0
standard,reckless+safe,none,无策略,E01,未佩戴护目镜,1000,0.233,0.477,0.13,0.16,0.0,0.0
standard,reckless+safe,none,无策略,E02,试剂瓶标签模糊,1070,0.2084,0.4467,0.1327,0.2121,0.0,0.0
standard,reckless+safe,none,无策略,E03,实验台杂乱,1569,0.2231,0.4736,0.1313,0.1721,0.0,0.0
standard,reckless+safe,none,无策略,E04,废液桶未及时封口,873,0.449,0.26,0.2153,0.0756,0.0,0.0
standard,reckless+safe,none,无策略,E05,挥发性溶剂在开放环境中转移,1209,0.2357,0.4897,0.1489,0.1257,0.0,0.0
standard,reckless+safe,none,无策略,E06,有机溶剂附近存在火源,926,0.23,0.2322,0.4093,0.1285,0.0,0.0
standard,reckless+safe,none,无策略,E07,地面少量液体洒漏,599,0.2905,0.3556,0.2304,0.1235,0.0,0.0
standard,reckless+safe,none,无策略,E08,玻璃器皿出现裂纹,1591,0.2351,0.2608,0.3193,0.1848,0.0,0.0
standard,reckless+safe,none,无策略,E09,气瓶未固定,579,0.2504,0.2815,0.2746,0.1934,0.0,0.0
standard,reckless+safe,none,无策略,E10,通风橱内堆放过多物品,856,0.4299,0.2815,0.2465,0.0421,0.0,0.0
standard,reckless+safe,none,无策略,E11,废液混放产生异常气味,900,0.2444,0.2667,0.2944,0.1944,0.0,0.0
standard,reckless+safe,none,无策略,E12,加热装置无人值守,1191,0.2091,0.272,0.3098,0.2091,0.0,0.0
standard,reckless+safe,none,无策略,E13,皮肤接触腐蚀性液体,1306,0.268,0.4548,0.0,0.0,0.2772,0.0
standard,reckless+safe,none,无策略,E14,容器内压力异常升高,1229,0.227,0.2742,0.3116,0.1871,0.0,0.0
standard,reckless+safe,none,无策略,E15,实验台出现小型明火,801,0.2934,0.3833,0.0,0.0,0.3233,0.0
standard,reckless+safe,none,无策略,E16,刺激性气味明显增强,1768,0.3925,0.1318,0.4406,0.0351,0.0,0.0
standard,safe+safe,none,无策略,E01,未佩戴护目镜,1043,0.2148,0.5139,0.1189,0.1524,0.0,0.0
standard,safe+safe,none,无策略,E02,试剂瓶标签模糊,1012,0.2451,0.4545,0.1176,0.1828,0.0,0.0
standard,safe+safe,none,无策略,E03,实验台杂乱,1594,0.2221,0.4718,0.1255,0.1807,0.0,0.0
standard,safe+safe,none,无策略,E04,废液桶未及时封口,871,0.5052,0.248,0.1768,0.07,0.0,0.0
standard,safe+safe,none,无策略,E05,挥发性溶剂在开放环境中转移,1259,0.2351,0.5083,0.1469,0.1096,0.0,0.0
standard,safe+safe,none,无策略,E06,有机溶剂附近存在火源,931,0.1869,0.2943,0.3502,0.1686,0.0,0.0
