mode,team,action_id,action_name,picks,pick_rate
standard,balanced+safe,emergency,使用应急设施,38,0.1827
standard,balanced+safe,report,上报负责人,37,0.1779
standard,expert+expert,stop,暂停操作,41,0.1952
standard,expert+expert,ppe,补全PPE,15,0.0714
standard,expert+expert,label,核对标签,17,0.081
standard,expert+expert,hood,使用通风橱,20,0.0952
standard,expert+expert,waste,分类回收,11,0.0524
standard,expert+expert,cleanup,隔离与清理,27,0.1286
standard,expert+expert,emergency,使用应急设施,36,0.1714
standard,expert+expert,report,上报负责人,43,0.2048
standard,expert+learner,stop,暂停操作,36,0.1818
standard,expert+learner,ppe,补全PPE,10,0.0505
standard,expert+learner,label,核对标签,16,0.0808
standard,expert+learner,hood,使用通风橱,20,0.101
standard,expert+learner,waste,分类回收,14,0.0707
standard,expert+learner,cleanup,隔离与清理,21,0.1061
standard,expert+learner,emergency,使用应急设施,37,0.1869
standard,expert+learner,report,上报负责人,44,0.2222
standard,expert+reckless,stop,暂停操作,43,0.2028
standard,expert+reckless,ppe,补全PPE,17,0.0802
standard,expert+reckless,label,核对标签,18,0.0849
standard,expert+reckless,hood,使用通风橱,24,0.1132
standard,expert+reckless,waste,分类回收,16,0.0755
standard,expert+reckless,cleanup,隔离与清理,19,0.0896
standard,expert+reckless,emergency,使用应急设施,33,0.1557
standard,expert+reckless,report,上报负责人,42,0.1981
standard,expert+safe,stop,暂停操作,44,0.2075
standard,expert+safe,ppe,补全PPE,7,0.033
standard,expert+safe,label,核对标签,19,0.0896
standard,expert+safe,hood,使用通风橱,23,0.1085
standard,expert+safe,waste,分类回收,9,0.0425
standard,expert+safe,cleanup,隔离与清理,21,0.0991
standard,expert+safe,emergency,使用应急设施,46,0.217
standard,expert+safe,report,上报负责人,43,0.2028
standard,learner+learner,stop,暂停操作,32,0.16
standard,learner+learner,ppe,补全PPE,23,0.115
standard,learner+learner,label,核对标签,16,0.08
standard,learner+learner,hood,使用通风橱,21,0.105
standard,learner+learner,waste,分类回收,14,0.07
standard,learner+learner,cleanup,隔离与清理,21,0.105
standard,learner+learner,emergency,使用应急设施,35,0.175
standard,learner+learner,report,上报负责人,38,0.19
standard,learner+reckless,stop,暂停操作,37,0.1762
standard,learner+reckless,ppe,补全PPE,14,0.0667
standard,learner+reckless,label,核对标签,19,0.0905
standard,learner+reckless,hood,使用通风橱,22,0.1048
standard,learner+reckless,waste,分类回收,20,0.0952
standard,learner+reckless,cleanup,隔离与清理,20,0.0952
standard,learner+reckless,emergency,使用应急设施,41,0.1952
standard,learner+reckless,report,上报负责人,37,0.1762
standard,learner+safe,stop,暂停操作,46,0.2072
standard,learner+safe,ppe,补全PPE,11,0.0495
standard,learner+safe,label,核对标签,15,0.0676
standard,learner+safe,hood,使用通风橱,32,0.1441
standard,learner+safe,waste,分类回收,17,0.0766
standard,learner+safe,cleanup,隔离与清理,21,0.0946
standard,learner+safe,emergency,使用应急设施,38,0.1712
standard,learner+safe,report,上报负责人,42,0.1892
standard,reckless+reckless,stop,暂停操作,35,0.1667
standard,reckless+reckless,ppe,补全PPE,24,0.1143
standard,reckless+reckless,label,核对标签,29,0.1381
standard,reckless+reckless,hood,使用通风橱,25,0.119
standard,reckless+reckless,waste,分类回收,20,0.0952
standard,reckless+reckless,cleanup,隔离与清理,22,0.1048
standard,reckless+reckless,emergency,使用应急设施,29,0.1381
standard,reckless+reckless,report,上报负责人,26,0.1238
standard,reckless+safe,stop,暂停操作,42,0.1981
standard,reckless+safe,ppe,补全PPE,12,0.0566
standard,reckless+safe,label,核对标签,14,0.066
standard,reckless+safe,hood,使用通风橱,29,0.1368
standard,reckless+safe,waste,分类回收,13,0.0613
standard,reckless+safe,cleanup,隔离与清理,20,0.0943
standard,reckless+safe,emergency,使用应急设施,37,0.1745
standard,reckless+safe,report,上报负责人,45,0.2123
standard,safe+safe,stop,暂停操作,44,0.2
standard,safe+safe,ppe,补全PPE,14,0.0636
standard,safe+safe,label,核对标签,20,0.0909
standard,safe+safe,hood,使用通风橱,19,0.0864
standard,safe+safe,waste,分类回收,18,0.0818
standard,safe+safe,cleanup,隔离与清理,19,0.0864
standard,safe+safe,emergency,使用应急设施,43,0.1955
standard,safe+safe,report,上报负责人,43,0.1955
teaching,balanced+balanced,stop,暂停操作,47,0.2026
teaching,balanced+balanced,ppe,补全PPE,19,0.0819
teaching,balanced+balanced,label,核对标签,20,0.0862
teaching,balanced+balanced,hood,使用通风橱,28,0.1207
teaching,balanced+balanced,waste,分类回收,15,0.0647
teaching,balanced+balanced,cleanup,隔离与清理,21,0.0905
teaching,balanced+balanced,emergency,使用应急设施,43,0.1853
teaching,balanced+balanced,report,上报负责人,39,0.1681
challenge,balanced+balanced,stop,暂停操作,44,0.2037
challenge,balanced+balanced,ppe,补全PPE,19,0.088
challenge,balanced+balanced,label,核对标签,21,0.0972
challenge,balanced+balanced,hood,使用通风橱,23,0.1065
challenge,balanced+balanced,waste,分类回收,15,0.0694
challenge,balanced+balanced,cleanup,隔离与清理,22,0.1019
challenge,balanced+balanced,emergency,使用应急设施,33,0.1528
challenge,balanced+balanced,report,上报负责人,39,0.1806
